NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX,type
34,UNIVERSITAS GADJAH MADA,3611027.0,FARMASI,679.18,17.93,659.42,760.88,science
35,UNIVERSITAS GADJAH MADA,3611333.0,ARSITEKTUR,678.19,17.82,659.2,733.62,humanities
36,UNIVERSITAS SUMATERA UTARA,1211015.0,PENDIDIKAN DOKTER,680.69,18.9,658.69,746.99,science
37,UNIVERSITAS ISLAM NEGERI MALANG,3741124.0,PENDIDIKAN DOKTER,671.65,8.99,658.6,692.56,science
38,UNIVERSITAS ANDALAS,1411033.0,PENDIDIKAN DOKTER,677.67,17.43,658.6,741.57,science
39,INSTITUT TEKNOLOGI BANDUNG,3321034.0,FAK. MATEMATIKA & ILMU PENGET. ALAM (FMIPA),682.26,20.46,658.25,774.44,science
40,UNIVERSITAS PADJADJARAN,3331187.0,PSIKOLOGI,683.58,22.98,657.83,757.84,humanities
41,UNIVERSITAS HASANUDDIN,7111076.0,PENDIDIKAN DOKTER,684.06,21.41,657.64,746.03,science
42,UNIVERSITAS GADJAH MADA,3611395.0,TEKNIK MESIN,681.71,19.83,656.72,737.99,science
43,UNIVERSITAS INDONESIA,3211143.0,TEKNIK KIMIA,689.8,23.85,656.01,739.98,science
44,UNIVERSITAS INDONESIA,3211305.0,STATISTIKA,681.15,25.82,655.85,755.25,science
45,UNIVERSITAS AIRLANGGA,3811022.0,PENDIDIKAN DOKTER GIGI,671.67,12.44,655.84,706.74,science
46,INSTITUT TEKNOLOGI BANDUNG,3321057.0,SEKOLAH FARMASI (SF),683.68,26.96,655.66,782.22,science
47,UNIVERSITAS INDONESIA,3211321.0,TEKNIK BIOMEDIS,681.87,29.04,655.66,764.33,science
48,UNIVERSITAS GADJAH MADA,3611171.0,MATEMATIKA,670.97,16.08,654.92,708.37,science
49,UNIVERSITAS GADJAH MADA,3611437.0,TEKNIK INDUSTRI,683.99,24.09,654.85,756.26,science
50,UNIVERSITAS GADJAH MADA,3611406.0,TEKNIK SIPIL,682.64,22.18,654.26,754.62,science
51,UNIVERSITAS INDONESIA,3211104.0,TEKNIK MESIN,673.32,15.8,653.55,714.89,science
52,INSTITUT TEKNOLOGI BANDUNG,3321065.0,SEKOLAH ILMU & TEKNO. HAYATI - PROG. SAINS,672.96,18.69,653.36,733.1,science
53,UNIVERSITAS INDONESIA,3211216.0,TEKNIK KOMPUTER,671.05,16.44,653.09,717.12,science
54,UNIVERSITAS INDONESIA,3211054.0,KIMIA,675.3,21.24,652.98,742.82,science
55,UNIVERSITAS INDONESIA,3211247.0,TEKNOLOGI BIOPROSES,680.01,25.02,652.77,743.38,science
56,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821217.0,SISTEM INFORMASI,669.85,13.07,652.73,713.97,science
57,UNIVERSITAS INDONESIA,3211077.0,FARMASI,684.42,23.2,652.49,735.81,science
58,UNIVERSITAS INDONESIA,3211255.0,GIZI,682.11,18.87,652.45,726.99,science
59,INSTITUT TEKNOLOGI BANDUNG,3321026.0,FAK. TEKNIK PERTAMB. & PERMINYAKAN (FTTM),685.38,23.81,652.21,749.4,science
60,UNIVERSITAS INDONESIA,3211112.0,TEKNIK ELEKTRO,675.49,17.28,651.98,728.48,science
61,UNIVERSITAS ISLAM NEGERI JAKARTA,3221114.0,PENDIDIKAN DOKTER,669.19,14.17,651.74,712.06,science
62,UNIVERSITAS PADJADJARAN,3331091.0,PENDIDIKAN DOKTER GIGI,675.26,21.16,651.55,747.47,science
63,UNIVERSITAS MATARAM,6211224.0,PENDIDIKAN DOKTER,663.78,13.65,651.07,706.02,science
64,UNIVERSITAS GADJAH MADA,3611453.0,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,671.93,18.9,650.64,722.22,science
65,UNIVERSITAS INDONESIA,3211046.0,FISIKA,663.3,13.95,650.47,705.48,science
66,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821306.0,SAINS AKTUARIA,672.43,16.95,650.25,721.92,science
67,INSTITUT PERTANIAN BOGOR,3411226.0,STATISTIKA,673.09,22.43,649.63,727.19,science
68,UNIVERSITAS GADJAH MADA,3611387.0,TEKNIK ELEKTRO,673.98,22.45,649.61,743.8,science
69,UNIVERSITAS INDONESIA,3211174.0,ILMU KESEHATAN MASYARAKAT,668.23,14.56,649.61,716.31,science
70,UNIVERSITAS INDONESIA,3211135.0,ARSITEKTUR,679.35,26.37,649.47,748.05,humanities
71,UNIVERSITAS INDONESIA,3211201.0,TEKNIK LINGKUNGAN,665.91,15.55,648.68,702.08,science
72,INSTITUT PERTANIAN BOGOR,3411106.0,ILMU KOMPUTER,663.79,16.35,648.62,748.75,science
73,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821121.0,TEKNIK SIPIL,674.81,26.84,648.51,765.69,science
74,UNIVERSITAS LAMPUNG,1911201.0,PEND. KEDOKTERAN,663.55,14.47,647.02,710.57,science
75,UNIVERSITAS PADJADJARAN,3331284.0,ILMU AKTUARIA,666.28,17.2,646.77,722.01,science
76,UNIVERSITAS INDONESIA,3211271.0,KESELAMATAN DAN KESEHATAN KERJA,661.59,14.05,646.44,691.59,science
77,INSTITUT TEKNOLOGI BANDUNG,3321011.0,FAK. ILMU DAN TEKNOLOGI KEBUMIAN (FITB),668.94,17.02,646.2,732.1,science
78,UNIVERSITAS GADJAH MADA,3611422.0,TEKNIK FISIKA,667.32,18.28,645.87,718.84,science
79,UNIVERSITAS SYIAH KUALA,1111165.0,PENDIDIKAN DOKTER,662.84,16.6,645.71,711.67,science
80,UNIVERSITAS PADJADJARAN,3331206.0,TEKNIK INFORMATIKA,663.9,15.09,645.65,697.09,science
81,INSTITUT TEKNOLOGI BANDUNG,3321123.0,SEKOLAH ILMU & TEKNO HAYATI - PROG REKAYASA,664.06,13.84,645.62,704.3,science
82,UNIVERSITAS GADJAH MADA,3611341.0,PERENCANAAN WILAYAH DAN KOTA,665.49,17.44,645.43,733.79,humanities
83,INSTITUT PERTANIAN BOGOR,3411497.0,AKTUARIA,667.16,18.33,644.89,699.32,science
84,UNIVERSITAS JEMBER,3711083.0,PENDIDIKAN DOKTER GIGI,660.04,13.08,644.7,700.66,science
85,UNIVERSITAS BRAWIJAYA,3721305.0,PENDIDIKAN DOKTER GIGI,660.95,14.96,644.43,698.6,science
86,UNIVERSITAS JENDERAL SOEDIRMAN,3511212.0,PENDIDIKAN DOKTER GIGI,657.41,9.92,643.81,680.39,science
87,UNIVERSITAS GADJAH MADA,3611082.0,GIZI KESEHATAN,668.69,18.92,643.32,721.54,science
88,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821071.0,TEKNIK ELEKTRO,665.03,17.38,643.07,733.21,science
